,ind,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,sp,gen,spp_gen,pop,reg2,morph,lat,long
14,KW_P-lindheimeri_LED-34_S70,0.0923514,0.00329774,-0.0127103,0.0706262,-0.0639365,0.0100982,0.00208979,0.00190377,-0.0111396,-0.0142521,0.0110032,-0.0163714,0.0196865,-0.0117384,-0.00639093,0.00766605,-0.0265557,0.00185917,0.134628,0.01047,L,Purp,Lind_Purp,LED,L,L,31.23331,-99.99277
15,KW_P-lindheimeri_LED-40_S71,0.104042,0.00327292,-0.0102868,0.0967948,-0.0563544,0.00364846,-0.0125631,-0.00141544,-0.016352,-0.0113022,0.0292267,-0.00784601,0.00858733,-0.0336172,-0.0354063,-0.00725169,-0.0201893,-0.0210579,0.127957,0.0243096,L,Purp,Lind_Purp,LED,L,L,31.23331,-99.99277
16,KW_P-lindheimeri_LER-23_S64,0.109277,-0.0265692,-0.00260975,-0.113506,-0.0077697,-0.0324183,0.115192,-0.0296089,0.0447954,-0.323362,0.0259138,0.00746234,-0.196459,-0.0203455,0.0989451,-0.0191542,-0.01958,-0.122655,0.345158,-0.0121709,L,Purp,Lind_Purp,LER,L,L,30.76078,-98.27353
17,KW_P-lindheimeri_LH16-18_S67,0.0982275,-0.057267,0.035791,-0.0491764,0.00701975,0.00245077,-0.0381106,-0.0428825,0.154601,-0.221799,0.0140744,0.400803,0.26135,0.0603465,-0.520159,0.277227,-0.184066,0.434967,0.12695,0.103139,L,Purp,Lind_Purp,LH16,L,L,30.18433,-99.00693
18,KW_P-lindheimeri_LH87-25_S65,0.0973008,-0.0354383,-0.0141759,-0.0347484,0.0132632,0.0227052,-0.0295505,-0.068593,-0.0315852,-0.201938,-0.0527854,0.0691304,-0.114036,-0.0431703,0.0367778,-0.175852,-0.133862,0.0535908,-0.403292,0.144862,L,Purp,Lind_Purp,LH87,L,L,30.31193,-98.90839
19,KW_P-lindheimeri_LH87-27_S66,0.0639826,-0.0455557,-0.0163117,-0.0409997,0.00983162,0.000368661,-0.0286162,-0.0356514,-0.0199086,-0.0879147,-0.0110621,0.0127101,-0.0333743,-0.00702436,0.00291317,-0.0759992,-0.0661147,0.0180357,-0.136259,0.0789688,L,Purp,Lind_Purp,LH87,L,L,30.31193,-98.90839
20,KW_P-lindheimeri_LMN-12_S59,0.0919114,-0.046783,-0.00334385,-0.0582741,0.0248269,0.000622344,0.00802849,0.00720422,-0.0254264,-0.0516491,-0.00125835,-0.0172181,-0.016886,-0.00971544,0.0598851,-0.021008,0.000632538,-0.0618404,0.00273529,-0.0164316,L,Purp,Lind_Purp,LMN,L,L,31.33262,-97.46821
21,KW_P-lindheimeri_LMN-18_S60,0.103718,-0.0650181,-0.0163903,-0.0774474,0.0365885,0.0121321,-0.00819884,-0.0299848,-0.0506396,-0.0795459,0.038583,-0.0795467,-0.00581568,-0.0115732,0.0269535,-0.012895,0.0285176,-0.00230453,0.0201461,-0.0125501,L,Purp,Lind_Purp,LMN,L,L,31.33262,-97.46821
22,KW_P-lindheimeri_LOC-12_S63,0.100188,-0.0580212,-0.0496408,-0.108513,0.0475006,-0.0201765,-0.0455254,0.0212636,0.0432117,-0.339242,0.0291007,0.161415,-0.0897417,0.0968938,0.111244,-0.0885981,0.160105,-0.169723,-0.267408,-0.0822706,L,Purp,Lind_Purp,LOC,L,L,30.70686,-98.06562
23,KW_P-lindheimeri_LRR-25_S61,0.0823506,-0.0498419,0.0195058,-0.0874008,0.00654534,-0.0203989,-0.0425493,-0.0567292,-0.010182,-0.168439,-0.00913685,-0.00487859,-0.0917131,0.0177453,0.00236848,-0.0675415,-0.0216708,-0.118874,-0.00464991,0.0685788,L,Purp,Lind_Purp,LRR,L,L,30.61922,-98.07169
24,KW_P-lindheimeri_LRR-29_S62,0.080828,-0.0516969,-0.0277786,-0.115553,0.0186869,0.00218571,-0.00189033,-0.0374379,-0.0230471,-0.163914,0.0314698,-0.0154191,-0.0383816,0.0231378,-0.0429997,-0.0375661,0.0748421,-0.0125864,-0.00171395,0.024975,L,Purp,Lind_Purp,LRR,L,L,30.61922,-98.07169
25,KW_P-lindheimeri_LVH-42_S68,0.110974,-0.0739391,0.0210779,-0.15679,0.0196949,-0.0209344,-0.0121094,-0.006937,0.02815,-0.190298,0.0305775,0.0577666,-0.0756702,0.0721112,-0.0273969,-0.0849817,-0.00831295,-0.0618191,0.0290109,0.0710611,L,Purp,Lind_Purp,LVH,L,L,30.2767777,-97.8942907
26,KW_P-lindheimeri_LVH-47_S69,0.0993037,-0.0647031,0.00820008,-0.116827,0.0174729,-0.0205169,-0.0226225,-0.0389919,0.0141271,-0.191654,0.000384094,0.00784808,-0.0719994,0.0585691,0.015578,-0.0879631,0.0284408,-0.0568746,-0.017283,0.0626956,L,Purp,Lind_Purp,LVH,L,L,30.2767777,-97.8942907
27,KW_P-purpurea_P77CC-56_S57,0.119034,-0.0969005,-0.120594,-0.124024,0.119836,0.126723,0.0588279,0.0170425,-0.187477,0.148811,0.178521,-0.455864,-0.0723917,0.103308,-0.295355,0.437884,-0.135022,-0.322318,-0.0804268,0.29636,P,Purp,Purp_Purp,P77CC,P,P,32.06758,-97.04793
28,KW_P-purpurea_PCM-23_S49,0.100071,-0.097459,-0.0157588,-0.192094,0.0955957,0.0108056,0.0166946,0.0461636,0.0840187,0.179809,-0.0287857,0.0565241,0.0340607,-0.0158328,0.0265634,-0.0115084,0.00910779,0.00752072,-0.0151817,-0.0186316,P,Purp,Purp_Purp,PCM,P,P,33.31087,-96.24411
29,KW_P-purpurea_PCM-6_S48,0.0782592,-0.0979195,-0.00947168,-0.233523,0.115837,0.0713854,-0.00652887,0.0636925,0.113658,0.236072,-0.0619699,0.0805749,0.0776477,-0.0381004,0.057003,-0.0613023,0.0393403,-0.00849381,-0.0443267,-0.0493436,P,Purp,Purp_Purp,PCM,P,P,33.31087,-96.24411
30,KW_P-purpurea_PCWT-34_S56,0.0913356,-0.00708447,-0.0166944,0.0148863,-0.00190859,-0.0129134,0.002955,0.0425515,-0.00145549,0.0719958,0.000932627,-0.0290517,-0.0116927,0.00140029,0.000139819,-0.00722028,-0.00797768,0.0182487,-0.00782321,-0.0295582,P,Purp,Purp_Purp,PCWT,P,P,32.375008,-98.97571
31,KW_P-purpurea_PED-18_S58,0.101965,0.0132252,-0.0116959,0.10151,-0.0729241,-0.013375,0.00159138,-0.00444811,0.0249412,-0.00397229,-0.010147,0.0258641,0.0439296,0.00151119,-0.0188758,-0.0101832,-0.0106145,0.0109943,0.154131,0.0432376,P,Purp,Purp_Purp,PED,P,P,31.23331,-99.99277
